season,No.overall,No. inseason,Title,Directed by,Written by,Original air date,Summary
1,1,1,"""Night of the Sentinels""",Larry Houston,Mark Edward Edens,1992-10-31,"The X-Men come to the aid of Jubilee when her foster parents turn her into the mutant registration and she is attacked by Sentinels. The X-Men save Jubilee and bring her to their facility. There, she learns a little about them. When Jubilee decides to go back and check on her foster parents, she is captured. The X-Men discover that the group running the Mutant Registration Program intends to track and eliminate mutants, so they decide to enter the building and destroy all the data. After destroying the files on mutants, the X-Men escape to the Blackbird but are stopped by the Sentinels. During the fight with the Sentinels, Morph is killed and Beast is captured and imprisoned by the government. The X-Men manage to track down the Sentinel's headquarters and free Jubilee. She decides to join Xavier's academy."
1,2,2,"""Night of the Sentinels""",Larry Houston,Mark Edward Edens,1992-11-07,"The X-Men come to the aid of Jubilee when her foster parents turn her into the mutant registration and she is attacked by Sentinels. The X-Men save Jubilee and bring her to their facility. There, she learns a little about them. When Jubilee decides to go back and check on her foster parents, she is captured. The X-Men discover that the group running the Mutant Registration Program intends to track and eliminate mutants, so they decide to enter the building and destroy all the data. After destroying the files on mutants, the X-Men escape to the Blackbird but are stopped by the Sentinels. During the fight with the Sentinels, Morph is killed and Beast is captured and imprisoned by the government. The X-Men manage to track down the Sentinel's headquarters and free Jubilee. She decides to join Xavier's academy."
1,3,3,"""Enter Magneto""",Larry Houston,Jim Carlson & Terrence McDonnell,1992-11-27,"Magneto attempts to break Beast out of prison, but Beast would rather stand trial. Sabretooth demands that Beast be set free and ends up going into a destructive rage, prompting the guards to shoot and injure him. Cyclops aids Sabretooth and brings him to the Mansion's infirmary, which does not sit well with Wolverine. Later, Magneto attacks a military missile facility."
1,4,4,"""Deadly Reunions""",Larry Houston,"Don Glut (last name misspelled ""Glutt"")[6]",1993-01-23,"Professor X tries to heal Sabretooth against Wolverine's warnings, while Magneto attacks a chemical plant in order to attract the attention of Professor X."
1,5,5,"""Captive Hearts""",Larry Houston,Robert N. Skir & Marty Isenberg,1993-01-30,"Cyclops and Jean are captured by a group of human mutants called the Morlocks when they go out on a romantic date, much to Logan's hurt. Storm battles their leader Callisto for control of the underground mutant group."
1,6,6,"""Cold Vengeance""",Larry Houston,Michael Edens,1993-02-06,"Wolverine abruptly leaves the X-Men in the middle of the night. Weary of Jean and Cyclops' relationship, he travels to the Arctic where he encounters a vengeful Sabretooth. Wolverine is stranded in freezing waters following the fight and is rescued by Inuit villagers. He befriends the Inuit and finds some momentary peace in the village (before Sabretooth shatters the illusion of peace again). Meanwhile, Gambit proposes a journey to investigate the rumor that Genosha is a mutant-friendly island, much to the intense disapproval of Cyclops. Professor X however sees potential in the suggestion and approves the mission. Storm, Gambit & Jubilee head to the ""mutant-loving"" island paradise of Genosha."
1,7,7,"""Slave Island""",Larry Houston,Mark Edward Edens,1993-02-13,"The X-Men discover the truth behind Genosha as Gambit, Storm, Jubilee, and a host of other mutants are made to work as slaves in order to complete a dam which will power a Sentinel factory. Storm tries to escape but is quickly recaptured and sent to solitary confinement in a small holding room, badly affecting her claustrophobia. Meanwhile, Gambit pretends to betray the mutants to gain the guards' trust by revealing Jubilee's escape attempt. He is allowed to be taken out of the compound where he soon escapes with the help of the mysterious Cable. Gambit returns to break Jubilee and Storm out of the compound and together with the help of the other X-Men they free all the mutants in Genosha."
1,8,8,"""The Unstoppable Juggernaut""",Larry Houston,Julianne Klemm,1993-03-06,"When the X-Mansion is trashed, the X-Men initially blame the Russian mutant Colossus, before discovering the real culprit is the Juggernaut."
1,9,9,"""The Cure""",Larry Houston,Mark Edward Edens,1993-02-20,"Warren Worthington (Archangel) has been supporting Dr. Adler's development to find a ""cure"" for mutant powers. Cable attacks Archangel and learns Dr. Adler has relocated to Muir Island, Scotland. Meanwhile, the X-Men are busy rebuilding the X-Mansion. Wolverine and Gambit squabble, Rogue intervenes and Wolverine accuses her of having a soft spot for Gambit. Professor X then gathers a meeting where he informs the X-Men of Dr. Adler's experimental treatment to remove mutant powers. Rogue decides to travel to Muir Island for the cure, despite Gambit's attempts to dissuade her. It is later revealed that the real Dr. Adler had already been killed by Apocalypse. Since then, Mystique had been posing as a fake Dr. Adler to help Apocalypse enslave mutants searching for the cure. Rogue eventually decides to selflessly keep her powers because she can do more good with her abilities. Having failed to enslave Rogue, Mystique switches targets and plans to enslave Archangel next for Apocalypse."
1,10,10,"""Come the Apocalypse""",Larry Houston,Michael Edens,1993-02-27,"Apocalypse and Mystique turn mutants who journeyed to Muir Island seeking the fictitious cure into the Horsemen of Apocalypse. Soon after, Apocalypse and his four Horsemen attack the World Peace Conference in Paris. Professor X recognizes Archangel as one of the mutants from Muir Island and sends Rogue on a mission to investigate. Rogue confronts ""Dr. Adler"", uncovers Mystique's disguise and in the resulting struggle, Dr. Adler's lab gets destroyed. The X-Men battle the four horsemen, and Rogue absorbs Archangel's dark side. Apocalypse manages to escape via a secret trap door and an underground plane."
